Binomial,Area,Group,Year,Family,Category,Conser_research_effort,Realm,ROi,ERi,General_research_effort,Nº cong species,CSi,Total_RO_nas_congeneric_species,ROCSi,RPM
Anoplohydrus aemulans,578.972828,snake,1909,NATRICIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Chalcidoseps thwaitesi,638.064364,lizard,1872,SCINCIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Complicitus nigrigularis,9.996281,lizard,1991,AGAMIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Cyclotyphlops deharvengi,19.992561,snake,1994,TYPHLOPIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Etheridgeum pulchrum,299.248309,snake,1924,COLUBRIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Heurnia ventromaculata,947.685593,snake,1926,HOMALOPSIDAE,DD,0,Oceanina,1,1,0,0,1,0,1,3
Karnsophis siantaris,9.996281,snake,2013,HOMALOPSIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Loveridgelaps elapoides,34867.21069,snake,1890,ELAPIDAE,VU,0,Oceanina,1,1,0,0,1,0,1,3
Myersophis alpestris,96.921305,snake,1963,COLUBRIDAE,DD,0,Oriental,1,1,0,0,1,0,1,3
Ogmodon vitianus,10747.71368,snake,1864,ELAPIDAE,EN,0,Oceanina,1,1,0,0,1,0,1,3
Sumatranus albomaculata,6.669451,snake,1854,HOMALOPSIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Tetralepis fruhstorferi,1884.217587,snake,1892,COLUBRIDAE,VU,0,Oriental,1,1,0,0,1,0,1,3
Thaumatorhynchus brooksi,9.996281,lizard,1924,AGAMIDAE,NC,0,Oriental,1,1,0,0,1,0,1,3
Calamorhabdium acuticeps,9.996281,snake,1933,COLUBRIDAE,NC,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Calamorhabdium kuekenthali,1868.129448,snake,1898,COLUBRIDAE,NC,0,Oceanina,1,1,0,1,0.99754902,0,1,2.99877451
Cophotis ceylanica,1561.572067,lizard,1861,AGAMIDAE,NC,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Cophotis dumbara,53.191764,lizard,2006,AGAMIDAE,CR,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Dryophiops philippina,218076.3853,snake,1896,COLUBRIDAE,VU,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Hologerrhum dermali,1180.681102,snake,2001,NATRICIDAE,EN,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Hydrablabes praefrontalis,440.137868,snake,1890,NATRICIDAE,DD,0,Oriental,1,1,0,1,0.99754902,0,1,2.99877451
Janetaescincus braueri,23.35353,lizard,1896,SCINCIDAE,EN,0,Oceanina,1,1,0,1,0.99754902,0,1,2.99877451
Janetaescincus veseyfitzgeraldi,39.262599,lizard,1947,SCINCIDAE,EN,0,Oceanina,1,1,0,1,0.99754902,0,1,2.99877451
Matoatoa brevipes,16912.12673,lizard,1900,GEKKONIDAE,VU,0,Madagascan,1,1,0,1,0.99754902,0,1,2.99877451
Matoatoa spannringi,131.369884,lizard,1998,GEKKONIDAE,DD,0,Madagascan,1,1,0,1,0.99754902,0,1,2.99877451
Alluaudina mocquardi,9.996281,snake,1939,PSEUDOXYRHOPHIIDAE,EN,0,Madagascan,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Celatiscincus similis,1139.622726,lizard,2006,SCINCIDAE,EN,0,Oceanina,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Mniarogekko chahoua,3073.049101,lizard,1869,DIPLODACTYLIDAE,VU,0,Australian,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Sirenoscincus yamagishii,4470.929544,lizard,2003,SCINCIDAE,NC,0,Madagascan,1,1,0,1,0.99754902,1,0.999709133,2.998629076
Pygomeles petteri,1657.263553,lizard,1962,SCINCIDAE,EN,0,Madagascan,1,1,0,1,0.99754902,2,0.999418266,2.998483643
Brygophis coulangesi,336.483479,snake,1988,PSEUDOXYRHOPHIIDAE,VU,0,Madagascan,0.998355263,1,1,0,1,0,1,2.998355263
Graciliscincus shonae,2173.502875,lizard,1987,SCINCIDAE,VU,1,Australian,0.998355263,1,1,0,1,0,1,2.998355263
Haitiophis anomalus,22218.08964,snake,1863,DIPSADIDAE,VU,0,Panamanian,0.998355263,1,1,0,1,0,1,2.998355263
Hypsicalotes kinabaluensis,19.992561,lizard,1937,AGAMIDAE,DD,0,Oriental,0.998355263,1,1,0,1,0,1,2.998355263
Oedodera marmorata,34.409962,lizard,2006,DIPLODACTYLIDAE,CR,0,Oceanina,0.998355263,1,1,0,1,0,1,2.998355263
Pachycalamus brevis,3622.532044,worm lizard,1881,TROGONOPHIDAE,DD,0,Afrotropical,0.998355263,1,1,0,1,0,1,2.998355263
Rabdion forsteni,3151.205839,snake,1854,COLUBRIDAE,NC,0,Oriental,0.998355263,1,1,0,1,0,1,2.998355263
Simiscincus aurantiacus,1234.112888,lizard,1997,SCINCIDAE,VU,1,Australian,0.998355263,1,1,0,1,0,1,2.998355263
Ebenavia maintimainty,3241.845596,lizard,1998,GEKKONIDAE,EN,0,Madagascan,1,1,0,1,0.99754902,4,0.998836533,2.998192776
Leiolopisma alazon,12.648146,lizard,1985,SCINCIDAE,CR,0,Oceanina,1,1,0,1,0.99754902,6,0.998254799,2.997901909
Geoemyda japonica,1278.250551,turtle,1931,GEOEMYDIDAE,EN,0,Oriental,1,1,0,1,0.99754902,8,0.997673066,2.997611043
Geomyersia haraldmeieri,71.110376,lizard,1976,SCINCIDAE,CR,0,Oceanina,1,1,0,2,0.995098039,0,1,2.99754902
Tropidoscincus aubrianus,2526.913508,lizard,1873,SCINCIDAE,VU,0,Australian,1,1,0,2,0.995098039,1,0.999709133,2.997403586
Lemuriatyphlops domerguei,333.198411,snake,1980,TYPHLOPIDAE,DD,0,Madagascan,1,1,0,2,0.995098039,2,0.999418266,2.997258153
Xerotyphlops socotranus,3622.541989,snake,1889,TYPHLOPIDAE,DD,0,Afrotropical,1,1,0,2,0.995098039,2,0.999418266,2.997258153
Celatiscincus euryotis,158.494706,lizard,1910,SCINCIDAE,EN,0,Australian,0.998355263,1,1,1,0.99754902,0,1,2.997129773
Coryphophylax brevicaudus,9.974626,lizard,2012,AGAMIDAE,NC,0,Oriental,0.998355263,1,1,1,0.99754902,0,1,2.997129773
Homalophis gyii,16007.45945,snake,2005,HOMALOPSIDAE,NC,0,Oriental,0.998355263,1,1,1,0.99754902,0,1,2.997129773
Sirenoscincus mobydick,9.996281,lizard,2012,SCINCIDAE,NC,0,Madagascan,0.998355263,1,1,1,0.99754902,0,1,2.997129773
Tracheloptychus petersi,7437.056546,lizard,1869,GERRHOSAURIDAE,VU,0,Madagascan,0.998355263,1,1,1,0.99754902,0,1,2.997129773
Perochirus guentheri,871.694718,lizard,1885,GEKKONIDAE,DD,0,Oceanina,1,1,0,2,0.995098039,3,0.9991274,2.997112719
Kanakysaurus viviparus,741.211109,lizard,2004,SCINCIDAE,EN,0,Oceanina,0.998355263,1,1,1,0.99754902,1,0.999709133,2.99698434
Kanakysaurus zebratus,1574.498896,lizard,2008,SCINCIDAE,EN,0,Oceanina,0.998355263,1,1,1,0.99754902,1,0.999709133,2.99698434
Sigaloseps ruficauda,157.964272,lizard,1999,SCINCIDAE,VU,0,Australian,0.998355263,1,1,1,0.99754902,1,0.999709133,2.99698434
Tetracheilostoma breuili,513.210898,snake,2008,LEPTOTYPHLOPIDAE,EN,0,Neotropical,1,1,0,2,0.995098039,4,0.998836533,2.996967286
Chalarodon steinkampi,925.436904,lizard,2015,OPLURIDAE,NC,0,Madagascan,0.998355263,1,1,1,0.99754902,2,0.999418266,2.996838906
Xenophidion acanthognathus,206.454988,snake,1995,XENOPHIIDAE,DD,0,Oriental,0.998355263,1,1,1,0.99754902,2,0.999418266,2.996838906
Archaius tigris,38.925178,lizard,1820,CHAMAELEONIDAE,EN,0,Oceanina,0.996710526,1,2,0,1,0,1,2.996710526
Gongylomorphus bojerii,1872.51277,lizard,1831,SCINCIDAE,CR,0,Oceanina,0.996710526,1,2,0,1,0,1,2.996710526
Lacertoides pardalis,24.874692,lizard,1997,SCINCIDAE,VU,1,Australian,0.996710526,1,2,0,1,0,1,2.996710526
Lycognathophis seychellensis,28.824321,snake,1837,NATRICIDAE,EN,0,Oceanina,0.996710526,1,2,0,1,0,1,2.996710526
Pararhadinaea melanogaster,15759.62988,snake,1898,PSEUDOXYRHOPHIIDAE,VU,0,Madagascan,0.996710526,1,2,0,1,0,1,2.996710526
Tukutuku rakiurae,1695.336595,lizard,1981,DIPLODACTYLIDAE,EN,0,Australian,0.996710526,1,2,0,1,0,1,2.996710526
Anomochilus monticola,315.438657,snake,2008,ANOMOCHILIDAE,DD,0,Oriental,1,1,0,2,0.995098039,6,0.998254799,2.996676419
Correlophus sarasinorum,1738.290457,lizard,1913,DIPLODACTYLIDAE,VU,0,Australian,1,1,0,2,0.995098039,6,0.998254799,2.996676419
Insulasaurus traanorum,1324.706255,lizard,2010,SCINCIDAE,NC,0,Oriental,1,1,0,3,0.992647059,0,1,2.996323529
Insulasaurus wrighti,3166.66137,lizard,1925,SCINCIDAE,DD,0,Oriental,1,1,0,3,0.992647059,0,1,2.996323529
Eurydactylodes occidentalis,603.416908,lizard,2009,DIPLODACTYLIDAE,CR,0,Oceanina,1,1,0,3,0.992647059,1,0.999709133,2.996178096
Eurydactylodes symmetricus,3789.86923,lizard,1908,DIPLODACTYLIDAE,EN,0,Australian,1,1,0,3,0.992647059,1,0.999709133,2.996178096
Phisalixella iarakaensis,9.996281,snake,1994,PSEUDOXYRHOPHIIDAE,DD,0,Madagascan,1,1,0,3,0.992647059,1,0.999709133,2.996178096
Phisalixella variabilis,1659.378623,snake,1896,PSEUDOXYRHOPHIIDAE,EN,0,Madagascan,1,1,0,3,0.992647059,1,0.999709133,2.996178096
Pseudoacontias angelorum,1035.573302,lizard,1995,SCINCIDAE,EN,0,Madagascan,1,1,0,3,0.992647059,1,0.999709133,2.996178096
Pseudoacontias unicolor,17.452776,lizard,2003,SCINCIDAE,VU,0,Madagascan,1,1,0,3,0.992647059,1,0.999709133,2.996178096
Calamophis katesandersae,9.996281,snake,2012,HOMALOPSIDAE,NC,0,Oceanina,1,1,0,3,0.992647059,3,0.9991274,2.995887229
Calamophis ruuddelangi,9.996281,snake,2012,HOMALOPSIDAE,NC,0,Oceanina,1,1,0,3,0.992647059,3,0.9991274,2.995887229
Ialtris parishi,19.992561,snake,1932,DIPSADIDAE,CR,0,Panamanian,1,1,0,3,0.992647059,3,0.9991274,2.995887229
Lemuriatyphlops microcephalus,19.992561,snake,1909,TYPHLOPIDAE,DD,0,Madagascan,0.998355263,1,1,2,0.995098039,1,0.999709133,2.995758849
Brachyorrhos wallacei,9.996281,snake,2012,HOMALOPSIDAE,NC,0,Oceanina,1,1,0,3,0.992647059,4,0.998836533,2.995741796
Myron karnsi,9.996281,snake,2011,HOMALOPSIDAE,NC,0,Oceanina,0.998355263,1,1,2,0.995098039,2,0.999418266,2.995613416
Mokopirirakau cryptozoicus,6079.474407,lizard,2004,DIPLODACTYLIDAE,EN,0,Australian,1,1,0,3,0.992647059,5,0.998545666,2.995596362
Palleon nasus,17688.67848,lizard,1887,CHAMAELEONIDAE,VU,0,Madagascan,0.996710526,1,2,1,0.99754902,0,1,2.995485036
Calodactylodes illingworthorum,3976.556103,lizard,1953,GEKKONIDAE,NC,0,Oriental,0.996710526,1,2,1,0.99754902,1,0.999709133,2.995339603
Ailuronyx trachygaster,66.915223,lizard,1851,GEKKONIDAE,VU,0,Oceanina,0.998355263,1,1,2,0.995098039,4,0.998836533,2.995322549
Alinea lanceolata,19.992561,lizard,1863,SCINCIDAE,CR,0,Panamanian,0.998355263,1,1,2,0.995098039,4,0.998836533,2.995322549
Capitellum metallicum,1032.615313,lizard,1879,SCINCIDAE,CR,0,Panamanian,0.998355263,1,1,2,0.995098039,4,0.998836533,2.995322549
Capitellum parvicruzae,219.154615,lizard,2012,SCINCIDAE,CR,0,Panamanian,0.998355263,1,1,2,0.995098039,4,0.998836533,2.995322549
Correlophus belepensis,8.46681,lizard,2012,DIPLODACTYLIDAE,NC,0,Oceanina,0.998355263,1,1,2,0.995098039,5,0.998545666,2.995177116
Acutotyphlops banaorum,4.435374,snake,2007,TYPHLOPIDAE,DD,0,Oriental,1,1,0,4,0.990196078,0,1,2.995098039
Harpesaurus beccarii,19.992561,lizard,1888,AGAMIDAE,NC,0,Oriental,1,1,0,4,0.990196078,0,1,2.995098039
Harpesaurus modiglianii,240.214185,lizard,1933,AGAMIDAE,DD,0,Oriental,1,1,0,4,0.990196078,0,1,2.995098039
Mitophis asbolepis,19.992561,snake,1985,LEPTOTYPHLOPIDAE,CR,0,Panamanian,1,1,0,4,0.990196078,0,1,2.995098039
Mitophis calypso,9.996281,snake,1985,LEPTOTYPHLOPIDAE,CR,0,Panamanian,1,1,0,4,0.990196078,0,1,2.995098039
Mitophis leptipileptus,9.996281,snake,1985,LEPTOTYPHLOPIDAE,CR,0,Panamanian,1,1,0,4,0.990196078,0,1,2.995098039
Mitophis pyrites,1689.400328,snake,1965,LEPTOTYPHLOPIDAE,EN,0,Panamanian,1,1,0,4,0.990196078,0,1,2.995098039
Thecadactylus oskrobapreinorum,95.055843,lizard,2011,PHYLLODACTYLIDAE,DD,0,Panamanian,1,1,0,2,0.995098039,17,0.995055265,2.995076652
Toropuku stephensi,294.375345,lizard,1980,DIPLODACTYLIDAE,EN,0,Australian,0.995065789,1,3,0,1,0,1,2.995065789
Gongylosoma mukutense,143.274308,snake,2003,COLUBRIDAE,CR,0,Oriental,1,1,0,4,0.990196078,1,0.999709133,2.994952606
Gongylosoma nicobariensis,9.970504,snake,1870,COLUBRIDAE,NC,0,Oriental,1,1,0,4,0.990196078,1,0.999709133,2.994952606
Woodworthia brunneus,9482.825307,lizard,1869,DIPLODACTYLIDAE,EN,0,Australian,1,1,0,4,0.990196078,1,0.999709133,2.994952606
Asthenodipsas tropidonotus,19.992561,snake,1923, PAREATIDAE,NC,0,Oriental,1,1,0,4,0.990196078,2,0.999418266,2.994807172
Enulius bifoveatus,1.44256,snake,1999,DIPSADIDAE,CR,0,Panamanian,1,1,0,4,0.990196078,2,0.999418266,2.994807172
Enulius roatanensis,9.939694,snake,1999,DIPSADIDAE,NC,0,Panamanian,1,1,0,4,0.990196078,2,0.999418266,2.994807172
Eugongylus mentovarius,19.992561,lizard,1895,SCINCIDAE,NC,0,Oceanina,1,1,0,4,0.990196078,2,0.999418266,2.994807172
Eugongylus sulaensis,575.814944,lizard,1927,SCINCIDAE,NC,0,Oceanina,1,1,0,4,0.990196078,2,0.999418266,2.994807172
Pseudoacontias menamainty,845.423907,lizard,2002,SCINCIDAE,CR,0,Madagascan,0.998355263,1,1,3,0.992647059,0,1,2.994678793
Ithycyphus blanci,9.996281,snake,1988,PSEUDOXYRHOPHIIDAE,DD,0,Madagascan,1,1,0,4,0.990196078,3,0.9991274,2.994661739
Marmorosphax boulinda,109.939497,lizard,2009,SCINCIDAE,VU,0,Oceanina,1,1,0,4,0.990196078,3,0.9991274,2.994661739
Marmorosphax kaala,358.992246,lizard,2009,SCINCIDAE,CR,0,Oceanina,1,1,0,4,0.990196078,3,0.9991274,2.994661739
Marmorosphax montana,60.545162,lizard,2000,SCINCIDAE,VU,0,Australian,1,1,0,4,0.990196078,3,0.9991274,2.994661739
Prasinohaema parkeri,953.920587,lizard,1937,SCINCIDAE,NC,0,Oceanina,1,1,0,4,0.990196078,3,0.9991274,2.994661739
Copeoglossum margaritae,9.996281,lizard,2012,SCINCIDAE,DD,0,Panamanian,0.998355263,1,1,3,0.992647059,1,0.999709133,2.994533359
Calamophis sharonbrooksae,9.996281,snake,2012,HOMALOPSIDAE,NC,0,Oceanina,0.998355263,1,1,3,0.992647059,2,0.999418266,2.994387926
Ialtris agyrtes,2738.457519,snake,1976,DIPSADIDAE,EN,0,Panamanian,0.998355263,1,1,3,0.992647059,2,0.999418266,2.994387926
Otocryptis nigristigma,26990.46459,lizard,2005,AGAMIDAE,NC,0,Oriental,0.998355263,1,1,3,0.992647059,2,0.999418266,2.994387926
Otocryptis wiegmanni,16510.21429,lizard,1830,AGAMIDAE,NC,0,Oriental,0.998355263,1,1,3,0.992647059,2,0.999418266,2.994387926
Ceratophora erdeleni,9.996281,lizard,1998,AGAMIDAE,NC,0,Oriental,1,1,0,4,0.990196078,5,0.998545666,2.994370872
Ceratophora karu,9.996281,lizard,1998,AGAMIDAE,NC,0,Oriental,1,1,0,4,0.990196078,5,0.998545666,2.994370872
Xenotyphlops grandidieri,48.118505,snake,1905,TYPHLOPIDAE,CR,0,Madagascan,0.996710526,1,2,2,0.995098039,0,1,2.994259546
Brachyorrhos gastrotaenius,9.996281,snake,1860,HOMALOPSIDAE,NC,0,Oceanina,0.998355263,1,1,3,0.992647059,3,0.9991274,2.994242492
Brachyorrhos raffrayi,9.947468,snake,1879,HOMALOPSIDAE,NC,0,Oceanina,0.998355263,1,1,3,0.992647059,3,0.9991274,2.994242492
Blaesodactylus boivini,9717.245449,lizard,1856,GEKKONIDAE,VU,0,Madagascan,1,1,0,4,0.990196078,6,0.998254799,2.994225439
Lamprolepis leucosticta,9.996281,lizard,1923,SCINCIDAE,NC,0,Oriental,1,1,0,4,0.990196078,6,0.998254799,2.994225439
Mokopirirakau kahutarae,6148.982713,lizard,1985,DIPLODACTYLIDAE,VU,0,Australian,0.998355263,1,1,3,0.992647059,4,0.998836533,2.994097059
Paragehyra austini,9.996281,lizard,2014,GEKKONIDAE,NC,0,Madagascan,0.998355263,1,1,3,0.992647059,4,0.998836533,2.994097059
Paragehyra felicitae,13.651986,lizard,2014,GEKKONIDAE,NC,0,Madagascan,0.998355263,1,1,3,0.992647059,4,0.998836533,2.994097059
Paragehyra gabriellae,2398.710187,lizard,1994,GEKKONIDAE,EN,0,Madagascan,0.998355263,1,1,3,0.992647059,4,0.998836533,2.994097059
Sinomicrurus hatori,4971.872609,snake,1930,ELAPIDAE,NC,0,Oriental,1,1,0,4,0.990196078,7,0.997963933,2.994080005
Christinus guentheri,7.627615,lizard,1885,GEKKONIDAE,VU,0,Australian,1,1,0,2,0.995098039,24,0.993019197,2.994058618
Pelochelys signifera,49419.77444,turtle,2002,TRIONYCHIDAE,VU,0,Oceanina,0.998355263,1,1,2,0.995098039,13,0.996218732,2.994013649
Heteroliodon fohy,9.996281,snake,2005,PSEUDOXYRHOPHIIDAE,EN,0,Madagascan,0.996710526,1,2,2,0.995098039,2,0.999418266,2.993968679
Tetracheilostoma carlae,17.527737,snake,2008,LEPTOTYPHLOPIDAE,CR,2,Panamanian,0.996710526,1,2,2,0.995098039,2,0.999418266,2.993968679
Lobulia glacialis,570.437203,lizard,2005,SCINCIDAE,DD,0,Oceanina,1,1,0,5,0.987745098,1,0.999709133,2.993727116
Lobulia stellaris,228.704847,lizard,2005,SCINCIDAE,NC,0,Oceanina,1,1,0,5,0.987745098,1,0.999709133,2.993727116
Dryocalamus philippinus,1209.456019,snake,1909,COLUBRIDAE,VU,0,Oriental,1,1,0,5,0.987745098,2,0.999418266,2.993581682
Phoboscincus bocourti,157.934894,lizard,1876,SCINCIDAE,EN,0,Australian,0.995065789,1,3,1,0.99754902,2,0.999418266,2.993549432
Casarea dussumieri,1.949708,snake,1837,BOLYERIDAE,VU,0,Oceanina,0.993421053,1,4,0,1,0,1,2.993421053
Madagascarophis fuchsi,9.996281,snake,2013,PSEUDOXYRHOPHIIDAE,NC,0,Madagascan,0.998355263,1,1,3,0.992647059,9,0.997382199,2.993369892
Marmorosphax taom,470.908626,lizard,2009,SCINCIDAE,CR,0,Oceanina,0.998355263,1,1,4,0.990196078,2,0.999418266,2.993162436
Cubophis brooksi,0.640161,snake,1914,DIPSADIDAE,NC,0,Panamanian,1,1,0,5,0.987745098,5,0.998545666,2.993145382
Ialtris haetianus,5845.755131,snake,1935,DIPSADIDAE,VU,1,Panamanian,0.996710526,1,2,3,0.992647059,1,0.999709133,2.992888622
Ceratophora aspera,10271.71583,lizard,1864,AGAMIDAE,VU,0,Oriental,0.998355263,1,1,4,0.990196078,4,0.998836533,2.992871569
Ceratophora stoddartii,5826.812263,lizard,1834,AGAMIDAE,NC,0,Oriental,0.998355263,1,1,4,0.990196078,4,0.998836533,2.992871569
Brachylophus bulabula,17500.13366,lizard,2008,IGUANIDAE,EN,0,Oceanina,0.998355263,1,1,2,0.995098039,21,0.993891798,2.992850182
Blaesodactylus microtuberculatus,9.996281,lizard,2015,GEKKONIDAE,NC,0,Madagascan,0.998355263,1,1,4,0.990196078,5,0.998545666,2.992726135
Perochirus ateles,1550.826453,lizard,1856,GEKKONIDAE,VU,0,Oceanina,0.995065789,1,3,2,0.995098039,0,1,2.992614809
Paragehyra petiti,656.977891,lizard,1929,GEKKONIDAE,VU,0,Madagascan,0.996710526,1,2,3,0.992647059,3,0.9991274,2.992597756
Coelognathus enganensis,403.074612,snake,1892,COLUBRIDAE,DD,0,Oriental,1,1,0,5,0.987745098,9,0.997382199,2.992563648
Pelochelys bibroni,301274.4602,turtle,1853,TRIONYCHIDAE,VU,1,Oceanina,0.996710526,1,2,2,0.995098039,12,0.996509599,2.992514345
Aspidura brachyorrhos,15288.32065,snake,1827,NATRICIDAE,NC,0,Oriental,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Aspidura ceylonensis,17443.89799,snake,1858,NATRICIDAE,NC,0,Oriental,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Aspidura copei,3353.292119,snake,1864,NATRICIDAE,DD,0,Oriental,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Aspidura deraniyagalae,19.992561,snake,1982,NATRICIDAE,NC,0,Oriental,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Aspidura drummondhayi,1358.440523,snake,1904,NATRICIDAE,NC,0,Oriental,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Bothrochilus biakensis,1892.305293,snake,2008,PYTHONIDAE,VU,0,Oceanina,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Bothrochilus fredparkeri,19.992561,snake,2008,PYTHONIDAE,VU,0,Oceanina,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Bothrochilus huonensis,1305.450754,snake,2008,PYTHONIDAE,DD,0,Oceanina,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Bothrochilus montanus,19.992561,snake,2014,PYTHONIDAE,DD,0,Oceanina,1,1,0,6,0.985294118,1,0.999709133,2.992501625
Dopasia wegneri,565.1484,lizard,1959,ANGUIDAE,DD,0,Oriental,1,1,0,6,0.985294118,2,0.999418266,2.992356192
Capitellum mariagalantae,9.996281,lizard,2012,SCINCIDAE,CR,0,Panamanian,0.995065789,1,3,2,0.995098039,2,0.999418266,2.992323942
Pseudogekko ditoy,3.857821,lizard,2014,GEKKONIDAE,NC,0,Oriental,1,1,0,6,0.985294118,3,0.9991274,2.992210759
Hydrosaurus pustulatus,152924.1736,lizard,1829,AGAMIDAE,VU,0,Oriental,0.995065789,1,3,2,0.995098039,4,0.998836533,2.992033076
Thamnosophis martae,19.992561,snake,2005,PSEUDOXYRHOPHIIDAE,EN,1,Madagascan,0.998355263,1,1,5,0.987745098,3,0.9991274,2.991791512
Thamnosophis stumpffi,2257.504922,snake,1881,PSEUDOXYRHOPHIIDAE,VU,0,Madagascan,0.998355263,1,1,5,0.987745098,3,0.9991274,2.991791512
Leucocephalon yuwonoi,34450.45314,turtle,1995,GEOEMYDIDAE,CR,1,Oriental,0.991776316,1,5,0,1,0,1,2.991776316
Pseudoxenodon baramensis,2357.91419,snake,1921,PSEUDOXYRHOPHIIDAE,DD,0,Oriental,1,1,0,6,0.985294118,6,0.998254799,2.991774458
Rhacodactylus trachycephalus,0.560271,lizard,1878,DIPLODACTYLIDAE,NC,1,Australian,0.996710526,1,2,3,0.992647059,10,0.997091332,2.991579722
Rhacodactylus trachyrhynchus,2782.984955,lizard,1873,DIPLODACTYLIDAE,EN,1,Australian,0.996710526,1,2,3,0.992647059,10,0.997091332,2.991579722
Nessia bipes,715.71667,lizard,1935,SCINCIDAE,NC,0,Oriental,1,1,0,7,0.982843137,0,1,2.991421569
Nessia burtonii,11700.76822,lizard,1839,SCINCIDAE,NC,0,Oriental,1,1,0,7,0.982843137,0,1,2.991421569
Nessia deraniyagalai,9.996281,lizard,1950,SCINCIDAE,NC,0,Oriental,1,1,0,7,0.982843137,0,1,2.991421569
Nessia didactyla,25547.96429,lizard,1934,SCINCIDAE,NC,0,Oriental,1,1,0,7,0.982843137,0,1,2.991421569
Nessia hickanala,19.992561,lizard,1940,SCINCIDAE,NC,0,Oriental,1,1,0,7,0.982843137,0,1,2.991421569
Nessia monodactyla,13848.9561,lizard,1839,SCINCIDAE,NC,0,Oriental,1,1,0,7,0.982843137,0,1,2.991421569
Dierogekko kaalaensis,43.042717,lizard,2006,DIPLODACTYLIDAE,CR,0,Oceanina,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Dierogekko koniambo,233.757428,lizard,2006,DIPLODACTYLIDAE,CR,0,Oceanina,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Dierogekko nehoueensis,147.574814,lizard,2006,DIPLODACTYLIDAE,CR,0,Oceanina,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Dierogekko poumensis,32.330277,lizard,2006,DIPLODACTYLIDAE,CR,0,Oceanina,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Dierogekko thomaswhitei,62.0864,lizard,2006,DIPLODACTYLIDAE,CR,0,Oceanina,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Dierogekko validiclavis,549.637264,lizard,1988,DIPLODACTYLIDAE,EN,0,Oceanina,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Larutia puehensis,9.996281,lizard,2003,SCINCIDAE,DD,0,Oriental,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Larutia sumatrensis,971.638055,lizard,1860,SCINCIDAE,DD,0,Oriental,1,1,0,7,0.982843137,1,0.999709133,2.991276135
Blaesodactylus ambonihazo,2608.576425,lizard,2011,GEKKONIDAE,DD,0,Madagascan,0.996710526,1,2,4,0.990196078,4,0.998836533,2.991226832
Arrhyton ainictum,9.996281,snake,1891,DIPSADIDAE,DD,0,Panamanian,1,1,0,7,0.982843137,2,0.999418266,2.991130702
Arrhyton dolichura,18.648998,snake,1909,DIPSADIDAE,NC,0,Panamanian,1,1,0,7,0.982843137,2,0.999418266,2.991130702
Arrhyton tanyplectum,822.638962,snake,1981,DIPSADIDAE,EN,0,Panamanian,1,1,0,7,0.982843137,2,0.999418266,2.991130702
Mokopirirakau granulatus,261772.8637,lizard,1845,DIPLODACTYLIDAE,VU,2,Australian,0.995065789,1,3,3,0.992647059,2,0.999418266,2.991098452
Aspidura trachyprocta,4121.292306,snake,1860,NATRICIDAE,NC,0,Oriental,0.998355263,1,1,6,0.985294118,0,1,2.991002322
Afroablepharus africanus,1005.246011,lizard,1845,SCINCIDAE,VU,0,Afrotropical,0.998355263,1,1,6,0.985294118,1,0.999709133,2.990856889
Afroablepharus annobonensis,14.697131,lizard,1972,SCINCIDAE,CR,0,Afrotropical,0.998355263,1,1,6,0.985294118,1,0.999709133,2.990856889
Cerberus microlepis,3346.679652,snake,1896,HOMALOPSIDAE,EN,0,Oriental,0.996710526,1,2,3,0.992647059,16,0.995346131,2.990707121
Hypsirhynchus ater,4730.006642,snake,1851,DIPSADIDAE,CR,0,Panamanian,1,1,0,7,0.982843137,5,0.998545666,2.990694402
Hypsirhynchus polylepis,1908.377233,snake,1966,DIPSADIDAE,EN,0,Panamanian,1,1,0,7,0.982843137,5,0.998545666,2.990694402
